loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms)
2026-03-30T14:41:37.002-05:00,1774899693.296833,30.28885043726369,-97.73760679948265,174.3939,0.0580384,0.3763887,-1,-1,3,8.171292255223152,-9999,135427.6317736667,0.7265167236328125,0.297027587890625,-0.6088409423828125,135427.6242356667,-3.055979877626009,0.8703778066522704,-0.2983980128474893,0.0008727286476641893,0.0006185146048665047,0.002429853659123182,-0.002818822860717773,0.004670798778533936,0.005825221538543701,XArbitraryZVertical,-0.4107480918086204,-0.152507827165238,0.8985765986161767,0.02423561123248974,0.7307850122451782,0.2939893901348114,-0.6160547137260437,0,0,0,-1,-1,135415.506766125,unknown,2,2026-03-30T14:41:24.874-05:00,2026-03-30T10:54:16.334-05:00,3805,1.355992,0,0,2567.05,4,4,2026-03-30T14:40:59.141-05:00,796592495.2330376,0,0.8700027,99.59172,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.1236805929763694
2026-03-30T14:41:37.036-05:00,1774899693.296833,30.28885043726369,-97.73760679948265,174.3939,0.0580384,0.3763887,-1,-1,3,8.171292255223152,-9999,135427.6656986667,0.7247161865234375,0.2988433837890625,-0.6107330322265625,135427.6543906667,-3.055855746293468,0.8704332651422364,-0.2984748352278725,-0.003377520944923162,-0.002701366320252419,0.001191437244415283,-0.001828610897064209,0.001835554838180542,0.009569525718688965,XArbitraryZVertical,-0.4107596405105742,-0.152566953636077,0.8985623127508782,0.02420027015896721,0.7308019399642944,0.2940628230571747,-0.615999698638916,0,0,0,-1,-1,135415.506766125,unknown,2,2026-03-30T14:41:24.874-05:00,2026-03-30T10:54:16.334-05:00,3805,1.355992,0,0,2567.05,4,4,2026-03-30T14:40:59.141-05:00,796592495.2330376,0,0.8700027,99.59172,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.1236805929763694
2026-03-30T14:41:37.071-05:00,1774899693.296833,30.28885043726369,-97.73760679948265,174.3939,0.0580384,0.3763887,-1,-1,3,8.171292255223152,-9999,135427.6996236667,0.72857666015625,0.2983856201171875,-0.6131439208984375,135427.6845466667,-3.055850668338503,0.8704782313401769,-0.2984864681925948,0.004628607071936131,-0.001248625107109547,-0.0006063614273443818,-0.005103766918182373,0.004509985446929932,0.003690361976623535,XArbitraryZVertical,-0.4107788924084567,-0.1525726532440883,0.898552351605429,0.02420390166814346,0.7308269739151001,0.2940739393234253,-0.6159645915031433,0,0,0,-1,-1,135415.506766125,unknown,2,2026-03-30T14:41:24.874-05:00,2026-03-30T10:54:16.334-05:00,3805,1.355992,0,0,2567.05,4,4,2026-03-30T14:40:59.141-05:00,796592495.2330376,0,0.8700027,99.59172,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.1236805929763694
2026-03-30T14:41:37.102-05:00,1774899693.296833,30.28885043726369,-97.73760679948265,174.3939,0.0580384,0.3763887,-1,-1,3,8.171292255223152,-9999,135427.7335476667,0.7283935546875,0.2947235107421875,-0.6126861572265625,135427.7147016667,-3.055985103823154,0.8704555643572311,-0.2984280212837533,0.005565884057432413,0.00186885567381978,-7.687842298764735e-05,-0.003622889518737793,0.002597451210021973,0.002695679664611816,XArbitraryZVertical,-0.4107819041514357,-0.1525192116668893,0.8985588394144425,0.02425021851095359,0.730826199054718,0.2940180599689484,-0.6159922480583191,0,0,0,-1,-1,135415.506766125,unknown,2,2026-03-30T14:41:24.874-05:00,2026-03-30T10:54:16.334-05:00,3805,1.355992,0,0,2567.05,4,4,2026-03-30T14:40:59.141-05:00,796592495.2330376,0,0.8700027,99.59172,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.1236805929763694
2026-03-30T14:41:37.137-05:00,1774899693.296833,30.28885043726369,-97.73760679948265,174.3939,0.0580384,0.3763887,-1,-1,3,8.171292255223152,-9999,135427.7674726667,0.7306671142578125,0.2951202392578125,-0.6089630126953125,135427.7448576667,-3.056115803146008,0.8705319135124977,-0.298344026028223,0.009662291966378689,0.001556593226268888,0.002647053450345993,-0.002422332763671875,0.001045018434524536,0.00412064790725708,XArbitraryZVertical,-0.4108304093346899,-0.1524539266469872,0.8985464839949249,0.02429702117434868,0.7308920621871948,0.2939378023147583,-0.6159523725509644,0,0,0,-1,-1,135415.506766125,unknown,2,2026-03-30T14:41:24.874-05:00,2026-03-30T10:54:16.334-05:00,3805,1.355992,0,0,2567.05,4,4,2026-03-30T14:40:59.141-05:00,796592495.2330376,0,0.8700027,99.59172,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.1236805929763694
2026-03-30T14:41:37.172-05:00,1774899693.296833,30.28885043726369,-97.73760679948265,174.3939,0.0580384,0.3763887,-1,-1,3,8.171292255223152,-9999,135427.8013986667,0.726226806640625,0.2985076904296875,-0.607696533203125,135427.7750126667,-3.056239768097482,0.870520272214117,-0.2983039076431845,0.00113589339889586,-0.001923654228448868,0.001057294313795865,0.0005207657814025879,0.0006103515625,0.007203757762908936,XArbitraryZVertical,-0.4108366521724393,-0.1524106871597919,0.8985497065018595,0.02434335753515109,0.7308939099311829,0.2938994467258453,-0.6159684658050537,0,0,0,-1,-1,135415.506766125,unknown,2,2026-03-30T14:41:24.874-05:00,2026-03-30T10:54:16.334-05:00,3805,1.355992,0,0,2567.05,4,4,2026-03-30T14:40:59.141-05:00,796592495.2330376,0,0.8700027,99.59172,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.1236805929763694
2026-03-30T14:41:37.207-05:00,1774899693.296833,30.28885043726369,-97.73760679948265,174.3939,0.0580384,0.3763887,-1,-1,3,8.171292255223152,-9999,135427.8353236667,0.7301788330078125,0.2973785400390625,-0.6067047119140625,135427.8051686667,-3.056221384223273,0.8705425797780728,-0.298329549791797,0.003708595875650644,0.002672597765922546,0.001528741326183081,-0.005132913589477539,0.004934638738632202,0.007960796356201172,XArbitraryZVertical,-0.4108439865937899,-0.1524256453025747,0.8985438219476103,0.02434221982399471,0.7309018969535828,0.293923944234848,-0.6159473061561584,0,0,0,-1,-1,135415.506766125,unknown,2,2026-03-30T14:41:24.874-05:00,2026-03-30T10:54:16.334-05:00,3805,1.355992,0,0,2567.05,4,4,2026-03-30T14:40:59.141-05:00,796592495.2330376,0,0.8700027,99.59172,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.1236805929763694
2026-03-30T14:41:37.237-05:00,1774899693.296833,30.28885043726369,-97.73760679948265,174.3939,0.0580384,0.3763887,-1,-1,3,8.171292255223152,-9999,135427.8692466667,0.7292327880859375,0.295989990234375,-0.608154296875,135427.8353236667,-3.056213499789224,0.8705924198401238,-0.2983682943901175,0.001479929313063622,-0.0002236035652458668,0.0008819609647616744,-0.0009739995002746582,0.001632213592529297,0.009763360023498535,XArbitraryZVertical,-0.4108638028623573,-0.1524439568005313,0.898531503652363,0.0243506369335571,0.7309239506721497,0.2939609885215759,-0.6159035563468933,0,0,0,-1,-1,135415.506766125,unknown,2,2026-03-30T14:41:24.874-05:00,2026-03-30T10:54:16.334-05:00,3805,1.355992,0,0,2567.05,4,4,2026-03-30T14:40:59.141-05:00,796592495.2330376,0,0.8700027,99.59172,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.1236805929763694
2026-03-30T14:41:37.273-05:00,1774899693.296833,30.28885043726369,-97.73760679948265,174.3939,0.0580384,0.3763887,-1,-1,3,8.171292255223152,-9999,135427.9031726667,0.72802734375,0.2961273193359375,-0.610870361328125,135427.8956346667,-3.056305116161935,0.8706779221114981,-0.2983491886566465,0.003231468610465527,-0.001332066487520933,0.001752100186422467,-0.003426611423492432,0.001253724098205566,0.006500124931335449,XArbitraryZVertical,-0.4109101815851325,-0.1524155649716175,0.898513851478814,0.02439429913722189,0.7309808135032654,0.2939427196979523,-0.6158446073532104,0,0,0,-1,-1,135415.506766125,unknown,2,2026-03-30T14:41:24.874-05:00,2026-03-30T10:54:16.334-05:00,3805,1.355992,0,0,2567.05,4,4,2026-03-30T14:40:59.141-05:00,796592495.2330376,0,0.8700027,99.59172,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.1236805929763694
2026-03-30T14:41:37.308-05:00,1774899693.296833,30.28885043726369,-97.73760679948265,174.3939,0.0580384,0.3763887,-1,-1,3,8.171292255223152,-9999,135427.9370976667,0.7283782958984375,0.2963409423828125,-0.6111297607421875,135427.9257896667,-3.056295694599527,0.8708426262459853,-0.2984401729985691,0.0005318219773471355,0.0002831676974892616,0.0004754443070851266,-0.002744615077972412,0.002189129590988159,0.004226207733154297,XArbitraryZVertical,-0.4109788595144235,-0.1524561201450613,0.8984748443321823,0.02442182853314125,0.7310618162155151,0.2940296828746796,-0.6157070398330688,0,0,0,-1,-1,135415.506766125,unknown,2,2026-03-30T14:41:24.874-05:00,2026-03-30T10:54:16.334-05:00,3805,1.355992,0,0,2567.05,4,4,2026-03-30T14:40:59.141-05:00,796592495.2330376,0,0.8700027,99.59172,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.1236805929763694
