loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationSpeedAccuracy(m/s),locationCourse(°),locationCourseAccuracy(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionHeading(°),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),pedometerStartDate(txt),pedometerNumberofSteps(N),pedometerAverageActivePace(s/m),pedometerCurrentPace(s/m),pedometerCurrentCadence(steps/s),pedometerDistance(m),pedometerFloorAscended(N),pedometerFloorDescended(N),pedometerEndDate(txt),altimeterTimestamp_sinceReboot(s),altimeterReset(bool),altimeterRelativeAltitude(m),altimeterPressure(kPa),batteryState(N),batteryLevel(R),heartRateBPMTimestamp(txt),heartRateBPM(N),heartRateBPS(R),heartRateVariabilityTimestamp(txt),heartRateVariability(ms)
2026-03-30T14:42:57.370-05:00,1774899777,30.28881182,-97.7375697,174.6237,0.1580935,0.07850529,244.2502968,180,3,8.27965148,-9999,135507.9995,0.819244385,0.256317139,-0.499954224,135507.9882,-3.091817151,1.020828322,-0.259471377,0.01341664,-0.005336884,0.003882866,-0.004377246,0.002143025,0.007056296,XArbitraryZVertical,0.481473915,0.124902832,-0.86651441,-0.04165278,0.824003041,0.256569654,-0.505164325,0,0,0,-1,-1,135505.5707,unknown,2,2026-03-30T14:42:54.938-05:00,2026-03-30T10:54:16.334-05:00,3835,1.354185,0,0,2585.694,4,4,2026-03-30T14:42:54.938-05:00,796592575,0,0.9300003,99.59001,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.123680593
2026-03-30T14:42:57.405-05:00,1774899777,30.28881182,-97.7375697,174.6237,0.1580935,0.07850529,244.2502968,180,3,8.27965148,-9999,135508.0334,0.826095581,0.254989624,-0.500640869,135508.0183,-3.091926216,1.020695583,-0.259398022,-0.000999984,-0.001663386,-0.000610977,-0.003639519,-0.001478642,0.004947722,XArbitraryZVertical,0.481426316,0.124847675,-0.866547803,-0.041673879,0.823952079,0.256498754,-0.505283535,0,0,0,-1,-1,135505.5707,unknown,2,2026-03-30T14:42:54.938-05:00,2026-03-30T10:54:16.334-05:00,3835,1.354185,0,0,2585.694,4,4,2026-03-30T14:42:54.938-05:00,796592575,0,0.9300003,99.59001,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.123680593
2026-03-30T14:42:57.436-05:00,1774899777,30.28881182,-97.7375697,174.6237,0.1580935,0.07850529,244.2502968,180,3,8.27965148,-9999,135508.0673,0.823013306,0.258804321,-0.499969482,135508.0485,-3.091822942,1.020700351,-0.259504827,-0.004203056,-0.00204436,2.42E-05,0.002515495,-0.00078845,0.005402505,XArbitraryZVertical,0.481417403,0.124918541,-0.866543468,-0.041655431,0.823931158,0.256601989,-0.505265296,0,0,0,-1,-1,135505.5707,unknown,2,2026-03-30T14:42:54.938-05:00,2026-03-30T10:54:16.334-05:00,3835,1.354185,0,0,2585.694,4,4,2026-03-30T14:42:54.938-05:00,796592575,0,0.9300003,99.59001,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.123680593
2026-03-30T14:42:57.470-05:00,1774899777,30.28881182,-97.7375697,174.6237,0.1580935,0.07850529,244.2502968,180,3,8.27965148,-9999,135508.1012,0.82069397,0.253158569,-0.502578735,135508.0786,-3.091798454,1.020787964,-0.259556162,-0.000541853,0.000665422,0.002366652,-0.000966132,0.000733554,0.003919661,XArbitraryZVertical,0.481451686,0.124944776,-0.866520161,-0.041662821,0.823964059,0.25665161,-0.505186141,0,0,0,-1,-1,135505.5707,unknown,2,2026-03-30T14:42:54.938-05:00,2026-03-30T10:54:16.334-05:00,3835,1.354185,0,0,2585.694,4,4,2026-03-30T14:42:54.938-05:00,796592575,0,0.9300003,99.59001,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.123680593
2026-03-30T14:42:57.506-05:00,1774899777,30.28881182,-97.7375697,174.6237,0.1580935,0.07850529,244.2502968,180,3,8.27965148,-9999,135508.1352,0.820770264,0.254302979,-0.503372192,135508.1088,-3.091763777,1.02084504,-0.259551623,-0.000254521,0.001272035,0.00075153,-0.002643883,-0.00385493,0.002652526,XArbitraryZVertical,0.481474446,0.124949977,-0.866507344,-0.041650263,0.823993862,0.256647229,-0.505139709,0,0,0,-1,-1,135505.5707,unknown,2,2026-03-30T14:42:54.938-05:00,2026-03-30T10:54:16.334-05:00,3835,1.354185,0,0,2585.694,4,4,2026-03-30T14:42:54.938-05:00,796592575,0,0.9300003,99.59001,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.123680593
2026-03-30T14:42:57.541-05:00,1774899777,30.28881182,-97.7375697,174.6237,0.1580935,0.07850529,244.2502968,180,3,8.27965148,-9999,135508.1691,0.820358276,0.252655029,-0.501480103,135508.1389,-3.091698433,1.021022747,-0.259575021,0.003535979,0.000592451,0.000859836,-0.002850592,-0.002000719,0.002213001,XArbitraryZVertical,0.48154634,0.124972105,-0.866464851,-0.041638735,0.824078619,0.256669819,-0.50499022,0,0,0,-1,-1,135505.5707,unknown,2,2026-03-30T14:42:54.938-05:00,2026-03-30T10:54:16.334-05:00,3835,1.354185,0,0,2585.694,4,4,2026-03-30T14:42:54.938-05:00,796592575,0,0.9300003,99.59001,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.123680593
2026-03-30T14:42:57.571-05:00,1774899777,30.28881182,-97.7375697,174.6237,0.1580935,0.07850529,244.2502968,180,3,8.27965148,-9999,135508.203,0.819274902,0.256881714,-0.500137329,135508.1691,-3.091685863,1.021148982,-0.259612561,-0.007220795,0.002401004,-0.003231312,-0.004325151,-0.002662569,0.002836347,XArbitraryZVertical,0.481598634,0.124988705,-0.866432906,-0.041650308,0.824134171,0.256706119,-0.504881144,0,0,0,-1,-1,135505.5707,unknown,2,2026-03-30T14:42:54.938-05:00,2026-03-30T10:54:16.334-05:00,3835,1.354185,0,0,2585.694,4,4,2026-03-30T14:42:54.938-05:00,796592575,0,0.9300003,99.59001,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.123680593
2026-03-30T14:42:57.607-05:00,1774899777,30.28881182,-97.7375697,174.6237,0.1580935,0.07850529,244.2502968,180,3,8.27965148,-9999,135508.2369,0.822113037,0.251312256,-0.500045776,135508.2294,-3.091612394,1.02117215,-0.259684279,-0.00745522,-0.002661752,-0.002421001,-0.000964284,-0.00146547,0.005127013,XArbitraryZVertical,0.481601065,0.125036874,-0.866425099,-0.041637426,0.824130058,0.256775439,-0.504852414,0,0,0,-1,-1,135508.144,unknown,2,2026-03-30T14:42:57.511-05:00,2026-03-30T10:54:16.334-05:00,3835,1.354185,0,0,2585.694,4,4,2026-03-30T14:42:57.511-05:00,796592577.6,0,0.9100037,99.59038,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.123680593
2026-03-30T14:42:57.641-05:00,1774899777,30.28881182,-97.7375697,174.6237,0.1580935,0.07850529,244.2502968,180,3,8.27965148,-9999,135508.2709,0.82119751,0.258728027,-0.49887085,135508.2596,-3.091469265,1.021171499,-0.259763466,-3.38E-05,-0.00053844,-0.000399992,-0.002991259,0.001158804,0.003896236,XArbitraryZVertical,0.481588472,0.125105532,-0.86642423,-0.041594674,0.824112415,0.256851971,-0.504842281,0,0,0,-1,-1,135508.144,unknown,2,2026-03-30T14:42:57.511-05:00,2026-03-30T10:54:16.334-05:00,3835,1.354185,0,0,2585.694,4,4,2026-03-30T14:42:57.511-05:00,796592577.6,0,0.9100037,99.59038,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.123680593
2026-03-30T14:42:57.677-05:00,1774899777,30.28881182,-97.7375697,174.6237,0.1580935,0.07850529,244.2502968,180,3,8.27965148,-9999,135508.3048,0.822418213,0.259552002,-0.499954224,135508.2897,-3.091482666,1.021173806,-0.259753698,2.27E-05,-0.000461712,-0.001301886,-0.00094986,0.001091957,0.007191479,XArbitraryZVertical,0.48159073,0.125098042,-0.866423865,-0.041598249,0.824115694,0.256842524,-0.504841685,0,0,0,-1,-1,135508.144,unknown,2,2026-03-30T14:42:57.511-05:00,2026-03-30T10:54:16.334-05:00,3835,1.354185,0,0,2585.694,4,4,2026-03-30T14:42:57.511-05:00,796592577.6,0,0.9100037,99.59038,1,0.9,2026-03-30T14:37:50.703-05:00,72,1.2,2026-03-30T12:48:13.834-05:00,0.123680593
